Chef,92526197245759488,0
Delco,113497066197561344,0
Winters,76121671093723136,0
( ° ͜ʖ͡°)╭∩╮,74746199629893632,2
sanct,98640872349925376,0
Olayed,83754373397610496,0
DankBot,145208392196030464,0
Space,83412853154910208,0
Happyghost1,91400931324751872,0
fucking vince,83413222438211584,0
Noah,76013835785342976,0
frenchy,75433943200960512,0
RedEyeJedi,79480696577466368,0
Degan,79443873188810752,0
doe,74986914913988608,0
Kriptini,104110519123726336,0
relicz,121737154119467018,0
palace,99402547076300800,0
Zach,83467337583300608,0
Mightmagic,102935486867206144,0
ZBrinz,84546983842283520,0
Slavsquat,84142381091295232,0
Unreal3man,84925272717000704,0
AbysmalLogic,75345501423140864,0
zach,83458110852698112,0
Snootchy,84094480298315776,0
robit,79360397743751168,0
amoney,85866019792367616,0
Annexe,125405105024532480,0
kinga,105378652224524288,0
[wG] Sheep,84094903340011520,0
Hall of Justice,86342702366474240,0
Snootchy,84094296822677504,0
MoySauce,74714887653163008,0
Jestar,85251938198757376,0
advnt,74966930049474560,0
lush,84795141105152000,0
TIm,85456585203138560,0
Cooper,104345576044232704,0
ZBrinz,83102237471014912,0
RedEyeJedi,79480466465366016,0
Maedi,96783758497189888,0
pjb,74714089074466816,0
YourMotherMom,124791119082029058,0
Callum,114221760659849224,0
Spencer,90653273861656576,0
Noah,83729160500940800,0
yourfatherdad,77265388177461248,0
Mokio,74713706654605312,1
prysmacid,95283964708655104,0
Sslick,76882236774813696,0
Spencer,86944392119595008,0
Critrix,81838386947563520,0
Callum,114221014455549956,0
kingabender,84138902675296256,0
dual core potato,134110942903533568,0
trey,84853697414189056,0
1nsayn,74753462704799744,0
LobstersGoPeenchPeench,80777603069259776,0
Chargercrazy,84393121927942144,0
danr,74714094002769920,0
Mokebot,145987075274047489,0
prysmacid,95284933223780352,0
koops,76892216114556928,0
murderallcatsss,87465628948008960,0
YourMotherMom,124790483594510336,0
Amoney,97574702867832832,0
beaverfish,75491286131421184,0
Mightmagic,102935243933126656,0
catbot,81985438390169600,0
